president,category,subcategory,item,count
Clinton,Wine,Sparkling,Chandon Brut Reserve,1
Clinton,Wine,Sparkling,Mumm Napa Valley Blanc de Noirs,1
Clinton,Wine,Sparkling,Domaine Carneros Blanc de Blancs,1
Clinton,Wine,Sparkling,Roederer Estate L’Ermitage,1
Clinton,Wine,Sparkling,Pindar Brut “Long Island”,1
Clinton,Wine,Sparkling,Flynn Vineyards “Oregon” Brut,1
Clinton,Wine,Sparkling,Iron Horse Blanc de Blancs L.D.,1
Clinton,Wine,Sparkling,Mumm Napa Valley “DVX”,2
Clinton,Wine,Sparkling,Roederer “White House Cuvée”,3
Clinton,Wine,Sparkling,Roederer L’Ermitage “White House Cuvée”,1
Clinton,Wine,Sparkling,Domaine Carneros “Le Rêve”,1
Clinton,Wine,Sparkling,Jordan “J”,1
Clinton,Wine,Sparkling,Iron Horse “Millennium Cuvée”,1
Clinton,Wine,Sparkling,Gloria Ferrer Royal Cuvée Brut,1
Clinton,Wine,Sparkling,S. Anderson Blanc de Noirs,1
Clinton,Wine,Sparkling,Argyle Julie Lee’s Block Blanc de Blancs,1
Clinton,Wine,Sparkling,Callaghan Vineyards Buena Suerte Cuvée,1
Clinton,Wine,Viognier,Joseph Phelps,1
Clinton,Wine,Viognier,Horton,1
Clinton,Wine,Viognier,Kendall-Jackson,1
Clinton,Wine,Viognier,Beringer,1
Clinton,Wine,Chardonnay,ZD Chardonnay,1
Clinton,Wine,Chardonnay,Kistler “Sand Hill” Chardonnay,1
Clinton,Wine,Chardonnay,Mount Madrona,1
Clinton,Wine,Chardonnay,Dehlinger Reserve,1
Clinton,Wine,Chardonnay,Peter Michael,1
Clinton,Wine,Chardonnay,Talbott,1
Clinton,Wine,Chardonnay,Solitude,1
Clinton,Wine,Chardonnay,Gallo “Estate” Chardonnay,1
Clinton,Wine,Chardonnay,Lolonis Chardonnay Reserve,1
Clinton,Wine,Chardonnay,Murphy Goode Sonoma Chardonnay,1
Clinton,Wine,Chardonnay,Franciscan “Cuvée Sauvage”,1
Clinton,Wine,Chardonnay,Signorello “Estate” Chardonnay,1
Clinton,Wine,Chardonnay,Cuvaison “Carneros” Chardonnay,1
Clinton,Wine,Chardonnay,Newton “Unfiltered”,1
Clinton,Wine,Chardonnay,Shafer Chardonnay “Red Shoulder”,1
Clinton,Wine,Chardonnay,Lewis Chardonnay “Reserve”,1
Clinton,Wine,Chardonnay,Talbott “Sleepy Hollow” Chardonnay,1
Clinton,Wine,Chardonnay,Sanford Chardonnay “Estate”,1
Clinton,Wine,Chardonnay,Macari Chardonnay “Estate”,1
Clinton,Wine,Chardonnay,St. Clement Chardonnay “Abbots”,1
Clinton,Wine,Chardonnay,Chalone,1
Clinton,Wine,Chardonnay,Marimar Torres,1
Clinton,Wine,Chardonnay,Chateau Ste. Michelle “Reserve”,1
Clinton,Wine,Chardonnay,Wolffer Vineyards Chardonnay “Estate”,1
Clinton,Wine,Cabernet Sauvignon,Hagafen,1
Clinton,Wine,Cabernet Sauvignon,Mondavi “Reserve” Cabernet,1
Clinton,Wine,Cabernet Sauvignon,Murrieta’s Well “Vendemia”,1
Clinton,Wine,Cabernet Sauvignon,Shafer “Hillside Select”,1
Clinton,Wine,Cabernet Sauvignon,Ridge Cabernet Sauvignon “Monte Bello”,1
Clinton,Soup/Salad,Cheese,Native Goat Cheese,1
Clinton,Soup/Salad,Cheese,"Bibb, Endive, Watercress with New York Wild Ripened Cheese",1
Clinton,Soup/Salad,Cheese,"Marinated Asparagus, Endive, Boston Lettuce with Baked Hazelnut Goat’s Cheese",1
Clinton,Soup/Salad,Cheese,"Baked Goat’s Cheese with Arugula, Endive, and Walnut Sauce",1
Clinton,Soup/Salad,Cheese,Amawalk,1
Clinton,Soup/Salad,Cheese,"Layered Artichoke, Leek, and Herbed Cheese with Greens and Endive and Balsamic Dressing",1
Clinton,Soup/Salad,Cheese,Young Lettuces and Sprouts with Layered Asiago and Goat’s Cheese and Rhubarb Dressing,1
Clinton,Soup/Salad,Cheese,Marinated Young Greens with Warm Kefalotiri Cheese and Baked Figs with Orange Saffron Dressing,1
Clinton,Soup/Salad,Cheese,Layered Goat’s Cheese and Portobello,1
Clinton,Soup/Salad,Cheese,Maytag Blue,1
Clinton,Soup/Salad,Cheese,Marinated Fresh Mozzarella,1
Clinton,Soup/Salad,Cheese,Baked Goat’s Cheese and Grilled Portobello,1
Clinton,Soup/Salad,Cheese,Bleu Cheese Fritter,1
Clinton,Soup/Salad,Cheese,Dry Aged Cheese Blossom,1
Clinton,Soup/Salad,Lettuce,Romaine,1
Clinton,Soup/Salad,Lettuce,"Marinated Asparagus, Endive, Boston Lettuce with Baked Hazelnut Goat’s Cheese",1
Clinton,Soup/Salad,Lettuce,"Young Romaine, Mâche Greens with Shallot Dressing",1
Clinton,Soup/Salad,Lettuce,Young Lettuces and Sprouts with Layered Asiago and Goat’s Cheese and Rhubarb Dressing,1
Clinton,Soup/Salad,Lettuce,"Bibb, Endive, Watercress with New York Wild Ripened Cheese",1
Clinton,Soup/Salad,Lettuce,"Mâche Greens, Spinach, and Young Lettuce with 25-Year-Old Sherry Dressing",1
Clinton,Soup/Salad,Lettuce,Oven-Dried Tomatoes and Young Lettuces,1
Clinton,Soup/Salad,Lettuce,"Salad of Bibb Lettuce, Asparagus, and Avocado with Stilton Crisp and Tarragon Grapefruit Dressing",1
Clinton,Soup/Salad,Lettuce,Bouquet of Lettuces with 25-Year-Old Sherry Dressing,1
Clinton,Soup/Salad,Lettuce,"Spring Lettuce, Citrus, and Radishes with Mission Fig Dressing",1
Clinton,Soup/Salad,Endive,"Bibb, Endive, Watercress with New York Wild Ripened Cheese",1
Clinton,Soup/Salad,Endive,"Marinated Asparagus, Endive, Boston Lettuce with Baked Hazelnut Goat’s Cheese",1
Clinton,Soup/Salad,Endive,"Baked Goat’s Cheese with Arugula, Endive, and Walnut Sauce",1
Clinton,Soup/Salad,Endive,"Layered Artichoke, Leek, and Herbed Cheese with Greens and Endive and Balsamic Dressing",1
Clinton,Soup/Salad,Endive,"Field Greens, Endive, and Roasted Tomatoes with Shallot Balsamic Dressing",1
Clinton,Soup/Salad,Endive,"Salad of Mâche, Endive, and Arugula",1
Clinton,Soup/Salad,Endive,"Salad of Winter Greens, Endive, and Spinach",1
Clinton,Soup/Salad,Watercress,Mâche Greens and Watercress with Avocado and Citrus Dressing,1
Clinton,Soup/Salad,Watercress,Watercress in Asiago Crisp with Grain Mustard Dressing,1
Clinton,Soup/Salad,Watercress,"Bibb, Endive, Watercress with New York Wild Ripened Cheese",1
Clinton,Soup/Salad,Spinach,"Salad of Spinach, Arugula, Fennel, and Sweet Basil with Orange Sherry Dressing",1
Clinton,Soup/Salad,Spinach,"Mâche Greens, Spinach, and Young Lettuce with 25-Year-Old Sherry Dressing",1
Clinton,Soup/Salad,Spinach,"Salad of Winter Greens, Endive, and Spinach",1
Clinton,Soup/Salad,Spinach,"Mâche, Spinach, and Winter Greens Salad with Basil Vinaigrette",1
Clinton,Soup/Salad,Tomatoes,"Field Greens, Endive, and Roasted Tomatoes with Shallot Balsamic Dressing",1
Clinton,Soup/Salad,Tomatoes,Roasted Artichokes and Basil Tomatoes,1
Clinton,Soup/Salad,Tomatoes,Marinated Tomato Salad with Chive Dressing,1
Clinton,Soup/Salad,Tomatoes,Oven-Dried Tomatoes and Young Lettuces,1
Clinton,Soup/Salad,Tomatoes,Roasted Tomatoes and Artichokes,1
Clinton,Soup/Salad,Tomatoes,Young Greens and Herb Salad with Heirloom Tomatoes and 25-Year-Old Sherry Dressing,1
Clinton,Soup/Salad,Custard,Tomato Asiago Custard,1
Clinton,Soup/Salad,Citrus,Fennel Citrus Salad with Ginger and Scallion Sauce,1
Clinton,Soup/Salad,Citrus,"Spring Lettuce, Citrus, and Radishes with Mission Fig Dressing",1
Clinton,Soup/Salad,Mango,"Charred Vidalia Onions, Mango, and Avocado",1
Clinton,Soup/Salad,Cucumber,Cucumber Salad,1
Clinton,Soup/Salad,Palm Hearts,Hearts of Palm and Avocado with Fruit Relish and Pomegranate Dressing,1
Clinton,Soup/Salad,Artichokes,"Layered Artichoke, Leek, and Herbed Cheese with Greens and Endive and Balsamic Dressing",1
Clinton,Soup/Salad,Artichokes,Roasted Artichokes and Basil Tomatoes,1
Clinton,Soup/Salad,Artichokes,Roasted Tomatoes and Artichokes,1
Clinton,Soup/Salad,Artichokes,Salad of Artichokes and Young Vegetables,1
Clinton,Soup/Salad,Leeks,"Layered Artichoke, Leek, and Herbed Cheese with Greens and Endive and Balsamic Dressing",1
Clinton,Soup/Salad,Sprouts,Young Lettuces and Sprouts with Layered Asiago and Goat’s Cheese and Rhubarb Dressing,1
Clinton,Soup/Salad,Sprouts,Salad of Young Greens and Sprouts with Meyer Lemon Dressing,1
Clinton,Soup/Salad,Vegetables,Scallion and Vegetable Salad with Gingered Red Pepper Dressing,1
Clinton,Soup/Salad,Vegetables,Salad of Artichokes and Young Vegetables,1
Clinton,Soup/Salad,Fava Beans,Fava Beans and Eggplant Salad,1
Clinton,Soup/Salad,Eggplant,Fava Beans and Eggplant Salad,1
Clinton,Soup/Salad,Herbs,Fennel and Herb Salad,1
Clinton,Soup/Salad,Herbs,Young Greens and Herb Salad with Heirloom Tomatoes and 25-Year-Old Sherry Dressing,1
Clinton,Soup/Salad,Radishes,"Spring Lettuce, Citrus, and Radishes with Mission Fig Dressing",1
Clinton,Soup/Salad,Figs,Marinated Young Greens with Warm Kefalotiri Cheese and Baked Figs with Orange Saffron Dressing,1
Clinton,Soup/Salad,Figs,Mission Fig and Agrumato Bruschetta,1
Clinton,Soup/Salad,Avocado,Mâche Greens and Watercress with Avocado and Citrus Dressing,1
Clinton,Soup/Salad,Avocado,Hearts of Palm and Avocado with Fruit Relish and Pomegranate Dressing,1
Clinton,Soup/Salad,Avocado,"Charred Vidalia Onions, Mango, and Avocado",1
Clinton,Soup/Salad,Avocado,"Salad of Bibb Lettuce, Asparagus, and Avocado with Stilton Crisp and Tarragon Grapefruit Dressing",1
Clinton,Soup/Salad,Mushrooms,Layered Goat’s Cheese and Portobello,1
