president,category,subcategory,item,count
Bush 41,Soup/Salad,Cheese,Saga Blue Cheese,1
Bush 41,Soup/Salad,Cheese,Blue and Trappist Cheeses,1
Bush 41,Soup/Salad,Lettuce,Bibb Lettuce with Raspberry Vinaigrette,1
Bush 41,Soup/Salad,Lettuce,Kentucky Bibb Lettuce with Garden Herb Dressing,1
Bush 41,Soup/Salad,Lettuce,Bibb Lettuce and Arugula with Herbs Vinaigrette,1
Bush 41,Soup/Salad,Lettuce,"Endive, Radicchio, and Bibb Salad",1
Bush 41,Soup/Salad,Lettuce,Boston Lettuce Salad,1
Bush 41,Soup/Salad,Endive,Watercress and Belgian Endive Salad,3
Bush 41,Soup/Salad,Endive,Watercress and Belgian Endive with Avocado Oil Dressing,1
Bush 41,Soup/Salad,Endive,Red Belgian Endive and Mâche with Mushroom Dressing,1
Bush 41,Soup/Salad,Endive,Belgian Endive and Watercress with Summer Herb Dressing,1
Bush 41,Soup/Salad,Endive,"Endive, Watercress, and Mushroom Salad",1
Bush 41,Soup/Salad,Endive,"Endive, Radicchio, and Bibb Salad",1
Bush 41,Soup/Salad,Watercress,Watercress and Belgian Endive Salad,3
Bush 41,Soup/Salad,Watercress,Watercress and Belgian Endive with Avocado Oil Dressing,1
Bush 41,Soup/Salad,Watercress,Belgian Endive and Watercress with Summer Herb Dressing,1
Bush 41,Soup/Salad,Watercress,"Endive, Watercress, and Mushroom Salad",1
Bush 41,Soup/Salad,Watercress,"Watercress, Radicchio, and Mushroom Salad",1
Bush 41,Soup/Salad,Radicchio,"Watercress, Radicchio, and Mushroom Salad",1
Bush 41,Soup/Salad,Radicchio,Radicchio and Green Salad,1
Bush 41,Soup/Salad,Radicchio,"Endive, Radicchio, and Bibb Salad",1
Bush 41,Soup/Salad,Mushrooms,"Watercress, Radicchio, and Mushroom Salad",1
Bush 41,Soup/Salad,Mushrooms,"Endive, Watercress, and Mushroom Salad",1
Bush 41,Soup/Salad,Mesclun,"Mesclun Salad, Pine Nut Dressing",1
Bush 41,Soup/Salad,Mesclun,Mesclun Salad with Raspberry Vinaigrette,1
Bush 41,Soup/Salad,Mesclun,Mesclun Salad with Avocado Oil Dressing,1
Bush 41,Soup/Salad,Mesclun,Mesclun Salad,1
Bush 41,Soup/Salad,Mesclun,"Mesclun Salad with Tender Young Greens, Nasturtium Blossoms, and a Thyme Vinaigrette",1
Bush 41,Soup/Salad,Greens,"Mesclun Salad with Tender Young Greens, Nasturtium Blossoms, and a Thyme Vinaigrette",1
Bush 41,Soup/Salad,Greens,Radicchio and Green Salad,1
Bush 41,Soup/Salad,Greens,Red Belgian Endive and Mâche Greens,1
Bush 41,Soup/Salad,Greens,Mixed Green Salad with Herb Dressing,1
Bush 41,Soup/Salad,Greens,Spring Salad with Olive Oil and Herb Dressing,1
Bush 41,Soup/Salad,Greens,Spring Salad,4
Bush 41,Soup/Salad,Greens,Mixed Spring Salad with Lemon and Olive Oil Dressing,1
Bush 41,Soup/Salad,Greens,Bibb Lettuce and Arugula with Herbs Vinaigrette,1
Bush 41,Soup/Salad,Greens,Autumn Mixed Salad with Cherry Wine Vinaigrette,1
Bush 41,Soup/Salad,Greens,Autumn Salad,2
Bush 41,Soup/Salad,Greens,Herb Dressed Summer Salad,1
Bush 41,Soup/Salad,Greens,Summer Salad,1
Bush 41,Soup/Salad,Soup,Crème Margot,1
Bush 41,Soup/Salad,Soup,Lobster Bisque with Quenelles,1
Bush 41,Soup/Salad,Soup,Consommé Printanier,1
Bush 41,Soup/Salad,Soup,Consommé of Pheasant,1
Bush 41,Dessert,Cookies,Cookies,12
Bush 41,Dessert,Cake,Pineapple Champagne Sorbet Cake with Guava Sauce,1
Bush 41,Dessert,Cake,White Chocolate Cake with Fresh Fruit and Raspberry Sauce,1
Bush 41,Dessert,Cake,Pineapple Surprise,1
Bush 41,Dessert,Cake,Biscuit Turinois with Caramel Sauce,1
Bush 41,Dessert,Mousse,Pistachio Marquise with Fresh Raspberries,1
Bush 41,Dessert,Mousse,Lime Sorbet with Vodka Mousse,1
Bush 41,Dessert,Mousse,Coffee Bombe with Rum Mousse,1
Bush 41,Dessert,Mousse,Caramel Mousse with Roasted Dried Pears and Orange Sauce,1
Bush 41,Dessert,Fruit,Fresh Cherries,1
Bush 41,Dessert,Sorbet,Mango Sorbet and Golden Raspberries,1
Bush 41,Dessert,Sorbet,Apple Sorbet with Warm Quince,1
Bush 41,Dessert,Sorbet,Peach Sorbet,1
Bush 41,Dessert,Sorbet,Lime Sorbet with Vodka Mousse,1
Bush 41,Dessert,Sorbet,Fruit Sorbets Surprise with Sabayon Sauce,1
Bush 41,Dessert,Souffle,Warm Apple Souffle with Spiced Sauce,1
Bush 41,Dessert,Souffle,Souffle Glace Surprise with Vanilla-Chocolate Sauce,1
