CODE,NAME
DYPR,DOUBLE G AVIATION
DYTR,SHELTAIR DAYTONA BEA
DZWR,HANSEN FLYING SERVIC
E5RR,ALLIEDSIGNAL ENGINES
E9LA,EMPIRE AIRWAYS INC
E9WA,EASTWIND AIRLINES IN
EA4R,MONTGOMERY AVIATION
EAPA,WELCH AVIATION INC
EASA,EMPIRE AERO SERVICES
EASR,SAIR AVIATION DIVISI
EATA,SUPERIOR AVIATION IN
EATD,SUPERIOR AVIATION
EATR,SUPERIOR AVIATION
EB1R,STAMBAUGHS AIR SERVI
EBRA,CORPORATE AVIATION I
EBVD,KAL AERO INC
EBVR,KAL AERO INC
EC1R,HERSHEY FOODS CORP
EC3R,GULFSTREAM AEROSPACE
ECAA,EAST COAST AVIATION
ECBA,FAST DELIVERY INC
ECPR,FLIGHT SAFETY INTERN
ECTA,JONES FLYING SERVICE
ED1R,TEXTRON LYCOMING SER
EDEA,TAMPA FLYING SERVICE
EDER,TAMPA FLYING SERVICE
EE4Y,COOPERATIVA DE SERVI
EEAR,RIVERSIDE AIR SERVIC
EF2R,ASTRAEA AVIATION SER
EG4R,AERO ELECTRONICS INC
EGCA,RAINBOW AVIATION
EGQA,MIDLANTIC JET CHARTE
EGRA,KEYSTONE HELICOPTER
EGRR,KEYSTONE HELICOPTER
EH1R,PENNSYLVANIA STATE P
EHAA,EVERGREEN HELICOPTER
EHHA,RONSON AVIATION INC
EHHR,RONSON AVIATION INC
EI4R,"MAGAGNOS, WILLIAM F"
EIAA,EVERGREEN INTERNATIO
EIDA,ABC HELITOURS INC
EIPA,SAWYER AVIATION INC
EIPR,SAWYER AVIATION INC
EISA,EXPRESS ONE INTERNAT
EIYR,SUPERSTITION AIR SER
EJ4R,AIRMOTIVE INC
EJYA,SOUTHWEST HELICOPTER
EK2D,JORDAN PROPELLER SER
EKG2,CUTTER AVIATION INC
EKGA,CUTTER AVIATION INC
EKGR,CUTTER AVIATION INC
EKIA,SUN WESTERN FLYERS I
EKIR,SUN WESTERN FLYERS I
EKQA,KETCHIKAN AIR SERVIC
ELOA,TRANS ALASKA HELICOP
ELRA,KETCHUM AIR SERVICE
EN4R,ALABAMA AVIATION AND
ENVR,AVIATION ENGINE SERV
EONA,ILIAMNA AIR TAXI INC
EOOL,SOLOY HELICOPTERS IN
EOOR,SOLOY HELICOPTERS IN
EOPA,AIR LOGISTICS OF ALA
EOPL,AIR LOGISTICS OF ALA
EOPR,AIR LOGISTICS OF ALA
EQGA,EXEC EXPRESS II INC
ERA2,ERA AVIATION INC
ERAA,ERA AVIATION INC
ERHA,RUSTS FLYING SERVICE
ERKR,EVERGREEN AIR CENTER
ERYR,RAYTHEON AIRCRAFT SE
ESAA,ESCAPE AVIATION
ESER,HILL AIRCRAFT AND LE
ETER,LOWE AVIATION COMPAN
ETHA,SMITHAIR INC
EVCR,AIR EVAC EMS INC
EVGL,J A A R S INC
EVGR,JUNGLE AVIATION AND
EW7A,EASTWAY AIRCRAFT SER
EWGR,ATLANTIC AERO INC
EWPA,RAS INC
EX2R,CHROMALLOY GAS TURBI
EY2R,AIRCRAFT PROPELLER S
EYKR,JET AVIATION ASSOCIA
EYLA,TWIN TOWN LEASING CO
EZ1R,XEROX CORP
F2PA,DOLPHIN ATLANTIC AIR
F3LA,FRONTIER AIRLINES IN
F3PR,FOSTERS PROPELLER SE
F5MA,FLIGHT MANAGEMENT IN
F6LM,FLORIDA POWER AND LI
FAHA,AIRWAYS INTERNATIONA
FB2R,GULFSTREAM AEROSPACE
FBQR,FLITE COMPONENTS INC
FC6R,HELICOPTER MAINTENAN
FCP5,FLIGHT CRAFT
FCPR,FLIGHTCRAFT INC
FCYA,MICRONESIAN AVIATION
FDEA,FEDERAL EXPRESS CORP
FE4R,AERO TWIN INC
FE6R,WESTERN AIRCRAFT INC
FEHR,EAGLE AVIATION INC
FF6R,"NIELSEN, JOHN H"
FFSA,FRONTIER FLYING SERV
FFVA,FALCON AVIATION INC
FFVR,FALCON AVIATION INC
FG5R,CAMERON AIRCRAFT INT
FG6R,PRECISION PROPELLER
FGHA,HAINES AIRWAYS INC
FGQR,BULLFROG INC
FI2R,DEE HOWARD CO
FIUA,MBD CORP
FJ1R,ISLIP AVIONICS INC
FK8R,FREEWAY AIRPORT INC
FKVA,TRANS AERO CORP
FKWR,AMR COMBS - MEMPHIS
FLTA,FLIGHT TRAILS
FMOR,CENTRAL FLORIDA AIR
FOWA,WRA INC
FPGR,BAMA AIR INC
FPIA,FLIGHT EXPRESS INC
FQ6R,WESTERN AIRCRAFT PRO
FQLR,NORTH ATLANTIC AIR I
FQQR,FAIREY HYDRAULICS IN
FR6R,ROCKY MOUNTAIN PROPE
FSEA,MAINE AVIATION CORP
FTKR,FLIGHTLINE AERO SERV
FTUR,NORTHEAST AIR INC
FUBA,FLIGHT SERVICES GROU
FUXR,CONSOLIDATED FUEL SY
FV1R,RAYTHEON AIRCRAFT SE
FVAA,SHORELINE AVIATION I
FVYA,FLYING BOAT INC
FW7A,HELICOPTER TRANSPORT
FW7D,HELICOPTER TRANSPORT
FW7R,HELICOPTER TRANSPORT
FWCG,"FARROW, SAMMIE JR"
FWTA,FLORIDA WEST AIRLINE
FX7A,FALCON AIR EXPRESS
FXLA,FINE AIRLINES INC
FZ1R,KERNS MANUFACTURING
FZRA,TURBO AIR INC
G2AR,GENERAL AVIATION SER
G2LR,NORTHROP GRUMMAN MEL
G7CR,CESSNA AIRCRAFT COMP
G8CA,GSC AVIATION
G9CR,DES MOINES FLYING SE
G9NR,GENERAL AERO SERVICE
GAIA,KITTY HAWK AIRCARGO
GAJA,MOUNTAIN BIRD INC
GBBR,CONYAN AVIATION INC
GBWA,MCCALL AIR TAXI INC
GCNA,GRAND CANYON AIRLINE
GCVG,BUTLER AIRCRAFT CO
GDGA,GOLDSTAR SERVICES IN
GDMA,HELI-JET CORP
GFER,AERO AIR INC
GGCR,RMA INC
GGNR,NOLAND-DECOTO FLYING
GGPA,METHOW AVIATION INC
GGSA,INTER-STATE AVIATION
GIKR,NORDSTROM
GJAA,WINGS ALOFT INC
GJPY,GUANGCHOU AIRCRAFT M
GJQA,WEYERHAEUSER CO
GJQR,WEYERHAEUSER CO
GJRA,KENMORE AIR HARBOR I
GK4Y,AIR TERMINAL SERVICE
GKIG,GLACIER HELICOPTER I
GL5R,HOT AIR REPAIR DEPOT
GLBA,GREAT LAKES AVIATION
GLBR,GREAT LAKES AVIATION
GLQR,BAKER AIRCRAFT
GMAL,LOUISIANA PACIFIC CO
GMCR,GENERAL MOTORS AIR T
GMZ2,CUTTER FLYING SERVIC
GMZR,CUTTER FLYING SERVIC
GN1R,GRIFFIN AVIONICS INC
GNBA,SOUTH AERO INC
GNER,INTERNATIONAL AVIATI
GNLA,SEVEN BAR FLYING SER
GNMA,GALLUP FLYING SERVIC
GOGR,REEBAIRE AIRCRAFT IN
GONA,FOUR CORNERS AVIATIO
GP5R,DIAMOND AVIONICS AND
GPPA,GP EXPRESS AIRLINES
GPQR,AVIA FLIGHT SERVICES
GPWR,SUN BELT AVIATION IN
GQFG,GARRETT FLYING SERVI
GQLA,STERN AIR INC
GQRA,TXI AVIATION INC
GQRR,TXI AVIATION INC
GQVR,RR INVESTMENTS INC
GR4R,GULFSTREAM AEROSPACE
GR5R,KROGER CO
GRAA,TARGET AIRWAYS LTD
GS1R,HELICOPTER AVIATION
GST2,ABILENE AERO INC
GSTR,ABILENE AERO INC
GTIA,SPIRIT AIRLINES INC
GUMR,CHRYSLER TECHNOLOGIE
GUUA,GULFSTREAM INTERNATI
GUZA,AVIEX JET INC
GVNA,THE HERMANN TRUST
GW1R,CHEYENNE AIR SERVICE
GW4R,GARRETT AVIATION SER
GXPA,GRAND AIRE EXPRESS I
GYWR,WEST TEXAS GAS INC
H2OA,AIR-HI-O CORPORATION
H2SR,HAMILTON STANDARD RE
H5LR,HELENA AIRCRAFT INC
H7LA,AIR LIFT HELICOPTERS
HAEA,CHAPARRAL INC
HALA,HAWAIIAN AIRLINES IN
HAXR,MIDCOAST LITTLE ROCK
HBKR,CENTRAL FLYING SERVI
HC6R,SKY SERVICES INC
HCHA,"FINKBEINER, CHRIS"
HCMA,HELICOPTER CONSULTAN
HD6R,MATSUSHITA AVIONICS
HDNA,METRO AVIATION INC
HDNR,METRO AVIATION INC
HE4R,KOSOLA AND ASSOC
HEEA,PETROLEUM HELICOPTER
HEED,PETROLEUM HELICOPTER
HEER,PETROLEUM HELICOPTER
HERA,MARKAIR EXPRESS INC
HF5R,RICHLAND AVIATION IN
